userID,food,rating
1,비빔밥,3
1,볶음밥,1
1,김치찌개,4
1,된장찌개,5
1,순두부찌개,4
1,삼계탕,1
1,갈비,2
1,생선구이,1
1,삼겹살,4
1,보쌈,3
1,족발,1
1,곱창,5
1,떡볶이,2
1,돈까스,2
1,제육볶음,2
1,매운탕,1
1,청국장,4
1,순대국밥,4
1,감자탕,5
1,냉면,4
1,추어탕,5
1,낙지볶음,3
1,육개장,5
1,찜닭,2
1,나주곰탕,3
1,소머리 국밥,5
1,물회,3
1,샤브샤브,2
1,간장게장,1
1,칼국수,5
1,짜장면,2
1,짬뽕,5
1,탕수육,5
1,마라탕,4
1,양꼬치,4
1,마파두부밥,3
1,유산슬,1
1,깐풍기,3
1,훠궈,2
1,팔보채,1
1,우동,4
1,생선회,5
1,초밥,4
1,돈부리 덮밥,2
1,라멘,3
1,메밀소바,5
1,타코야끼,1
1,오코노미야끼,2
1,스키야키,1
1,규카츠,3
1,치킨,5
1,스파게티,4
1,피자,1
1,햄버거,4
1,스테이크,2
1,부리또,3
1,타코,2
1,리조또,1
1,쌀국수,5
1,팟타이,3
2,비빔밥,1
2,볶음밥,3
2,김치찌개,2
2,된장찌개,2
2,순두부찌개,1
2,삼계탕,5
2,갈비,3
2,생선구이,5
2,삼겹살,4
2,보쌈,1
2,족발,4
2,곱창,2
2,떡볶이,1
2,돈까스,3
2,제육볶음,3
2,매운탕,2
2,청국장,1
2,순대국밥,4
2,감자탕,5
2,냉면,3
2,추어탕,4
2,낙지볶음,5
2,육개장,2
2,찜닭,1
2,나주곰탕,2
2,소머리 국밥,4
2,물회,5
2,샤브샤브,4
2,간장게장,5
2,칼국수,3
2,짜장면,1
2,짬뽕,4
2,탕수육,3
2,마라탕,3
2,양꼬치,5
2,마파두부밥,5
2,유산슬,4
2,깐풍기,2
2,훠궈,2
2,팔보채,1
2,우동,3
2,생선회,5
2,초밥,4
2,돈부리 덮밥,3
2,라멘,4
2,메밀소바,5
2,타코야끼,2
2,오코노미야끼,1
2,스키야키,2
2,규카츠,1
2,치킨,4
2,스파게티,4
2,피자,5
2,햄버거,1
2,스테이크,5
2,부리또,3
2,타코,3
2,리조또,2
2,쌀국수,2
2,팟타이,1
3,비빔밥,2
3,볶음밥,4
3,김치찌개,4
3,된장찌개,2
3,순두부찌개,3
3,삼계탕,3
3,갈비,5
3,생선구이,3
3,삼겹살,4
3,보쌈,4
3,족발,4
3,곱창,2
3,떡볶이,4
3,돈까스,3
3,제육볶음,4
3,매운탕,4
3,청국장,3
3,순대국밥,3
3,감자탕,4
3,냉면,3
3,추어탕,1
3,낙지볶음,3
3,육개장,2
3,찜닭,3
3,나주곰탕,3
3,소머리 국밥,3
3,물회,2
3,샤브샤브,3
3,간장게장,5
3,칼국수,3
3,짜장면,3
3,짬뽕,4
3,탕수육,3
3,마라탕,3
3,양꼬치,3
3,마파두부밥,2
3,유산슬,2
3,깐풍기,4
3,훠궈,3
3,팔보채,4
3,우동,3
3,생선회,5
3,초밥,4
3,돈부리 덮밥,3
3,라멘,3
3,메밀소바,2
3,타코야끼,4
3,오코노미야끼,4
3,스키야키,3
3,규카츠,3
3,치킨,3
3,스파게티,4
3,피자,3
3,햄버거,3
3,스테이크,3
3,부리또,2
3,타코,2
3,리조또,4
3,쌀국수,4
3,팟타이,4
4,비빔밥,1
4,볶음밥,2
4,김치찌개,3
4,된장찌개,4
4,순두부찌개,3
4,삼계탕,3
4,갈비,5
4,생선구이,1
4,삼겹살,5
4,보쌈,1
4,족발,2
4,곱창,4
4,떡볶이,5
4,돈까스,5
4,제육볶음,3
4,매운탕,1
4,청국장,1
4,순대국밥,3
4,감자탕,3
4,냉면,4
4,추어탕,1
4,낙지볶음,2
4,육개장,2
4,찜닭,4
4,나주곰탕,2
4,소머리 국밥,2
4,물회,4
4,샤브샤브,5
4,간장게장,4
4,칼국수,5
4,짜장면,5
4,짬뽕,4
4,탕수육,5
4,마라탕,3
4,양꼬치,3
4,마파두부밥,1
4,유산슬,2
4,깐풍기,2
